date,股票代码,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover
2024-06-07,000001,9.96,10.03,10.05,9.93,1170126,1281662985.8,1.21,0.91,0.09,0.6
2024-06-11,000001,10.02,9.91,10.06,9.83,1337629,1452841956.89,2.29,-1.2,-0.12,0.69
2024-06-12,000001,9.89,9.92,9.95,9.82,957426,1037927497.39,1.31,0.1,0.01,0.49
2024-06-13,000001,9.93,9.84,9.97,9.84,1203508,1304403407.05,1.31,-0.81,-0.08,0.62
2024-06-14,000001,9.9,9.93,9.98,9.74,1637990,1657433954.94,2.44,0.91,0.09,0.84
2024-06-17,000001,9.88,9.85,9.91,9.83,681217,688669914.12,0.81,-0.81,-0.08,0.35
2024-06-18,000001,9.86,9.83,9.91,9.79,700653,707829471.51,1.22,-0.2,-0.02,0.36
2024-06-19,000001,9.85,9.9,9.96,9.83,796184,807676192.22,1.32,0.71,0.07,0.41
2024-06-20,000001,9.91,9.8,9.92,9.8,629628,635070262.4,1.21,-1.01,-0.1,0.32
2024-06-21,000001,9.8,9.75,9.84,9.7,830545,831176895.42,1.43,-0.51,-0.05,0.43
2024-06-24,000001,9.72,9.73,9.82,9.63,947082,944907465.65,1.95,-0.21,-0.02,0.49
2024-06-25,000001,9.74,9.83,9.88,9.73,769993,775332071.89,1.54,1.03,0.1,0.4
2024-06-26,000001,9.81,9.83,9.88,9.77,628599,633763882.09,1.12,0.0,0.0,0.32
2024-06-27,000001,9.81,9.88,9.96,9.75,928882,938954397.5,2.14,0.51,0.05,0.48
2024-06-28,000001,9.85,9.9,10.01,9.84,918090,933947813.42,1.72,0.2,0.02,0.47
2024-07-01,000001,9.84,10.1,10.1,9.79,1343051,1372549619.58,3.13,2.02,0.2,0.69
2024-07-02,000001,10.05,10.15,10.23,10.03,1384386,1440864390.61,1.98,0.5,0.05,0.71
2024-07-03,000001,10.15,10.06,10.18,10.04,713067,737326421.16,1.38,-0.89,-0.09,0.37
2024-07-04,000001,10.05,10.01,10.13,10.0,735044,757464386.79,1.29,-0.5,-0.05,0.38
2024-07-05,000001,10.01,9.72,10.04,9.67,1713354,1721256576.49,3.7,-2.9,-0.29,0.88
2024-07-08,000001,9.69,9.68,9.77,9.6,868660,864791776.33,1.75,-0.41,-0.04,0.45
2024-07-09,000001,9.69,9.82,9.85,9.66,1032485,1034316510.76,1.96,1.45,0.14,0.53
2024-07-10,000001,9.82,9.89,9.95,9.8,873865,886626727.3,1.53,0.71,0.07,0.45
2024-07-11,000001,9.96,9.88,9.98,9.82,721392,731789332.33,1.62,-0.1,-0.01,0.37
2024-07-12,000001,9.87,10.06,10.06,9.87,1214164,1246877665.6,1.92,1.82,0.18,0.63
2024-07-15,000001,10.06,10.08,10.1,10.01,869412,896975833.16,0.89,0.2,0.02,0.45
2024-07-16,000001,10.08,10.05,10.12,9.99,943008,971564894.83,1.29,-0.3,-0.03,0.49
2024-07-17,000001,10.05,10.15,10.17,10.03,1220168,1266412580.0,1.39,1.0,0.1,0.63
2024-07-18,000001,10.13,10.16,10.18,10.05,1087061,1127365070.67,1.28,0.1,0.01,0.56
2024-07-19,000001,10.13,10.12,10.17,10.04,898723,929722661.62,1.28,-0.39,-0.04,0.46
2024-07-22,000001,10.11,9.98,10.13,9.94,994481,1018663805.8,1.88,-1.38,-0.14,0.51
2024-07-23,000001,10.0,9.93,10.08,9.91,1020154,1046994471.4,1.7,-0.5,-0.05,0.53
2024-07-24,000001,9.93,9.88,9.99,9.87,724518,736332832.11,1.21,-0.5,-0.05,0.37
2024-07-25,000001,9.87,9.84,9.9,9.75,856404,861750365.54,1.52,-0.4,-0.04,0.44
2024-07-26,000001,9.85,9.78,9.87,9.72,929552,931879546.46,1.52,-0.61,-0.06,0.48
2024-07-29,000001,9.77,9.86,9.89,9.72,781552,788019058.61,1.74,0.82,0.08,0.4
2024-07-30,000001,9.85,9.83,9.88,9.78,613268,618056610.32,1.01,-0.3,-0.03,0.32
